"ID","Notice ID","Title","Department","Sub_tier","Office","Type","Response Deadline","Naics Code","Link","Description"
"1269","6d5e9d2ce2dd4cf3bd80fc9d5adae3e6","5836--Operating Room Video Replacement","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","246-NETWORK CONTRACTING OFFICE 6 (36C246)","Solicitation","2020-10-23T07:00:00-04:00","334310","https://beta.sam.gov/opp/6d5e9d2ce2dd4cf3bd80fc9d5adae3e6/view","The Veterans Health Administration (VHA), Charleston VA Medical Center (VAMC) located at 109 Bee St, Charleston, SC 29401 will be soliciting quotes for an Operating Room Camera System. The contractor shall provide all labor, material, supplies, management "
"1308","051b0f06b9b946bb835c2ef8f183d494","SOLE SOURCE ","DEPT OF DEFENSE","DEPT OF THE NAVY","NSWC CRANE","Combined Synopsis/Solicitation","2020-10-23T12:00:00-04:00","335999","https://beta.sam.gov/opp/051b0f06b9b946bb835c2ef8f183d494/view","N0016421Q0023 "
"1329","21486ee039d54f29a047107be8e841ab","Various Aircraft Parts","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","AVIATION LOGISTICS CENTER (ALC)(000","Combined Synopsis/Solicitation","2020-10-23T14:00:00-04:00","335999","https://beta.sam.gov/opp/21486ee039d54f29a047107be8e841ab/view","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR subpart 12.6 and part , as supplemented with additional information included in this notice."
"1361","d27d9842b99045b49232301b952958ab","Preventive Maintenance/Service Plan 3500 Genetic Analyzer","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","USDA ARS NEA AAO ACQ/PER PROP","Sources Sought","2020-10-23T09:00:00-04:00","811219","https://beta.sam.gov/opp/d27d9842b99045b49232301b952958ab/view","The USDA, ARS, Beltsville, MD is issuing this sources sought synopsis as a means of conducting market research to identify potential sources having an interest and industry technologies available to support Annual preventative maintenance and service repai"
"1377","8a376883e2e54d3a82b8fbd1ef3ec03f","NIEHS National Toxicology Program Next Generation Sequencing Services","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","NATIONAL INSTITUTES OF HEALTH","NATIONAL INSTITUTE OF  HEALTH NIEHS","Special Notice","2020-10-23T16:30:00-04:00","","https://beta.sam.gov/opp/8a376883e2e54d3a82b8fbd1ef3ec03f/view","Please note that notice has been updated with Attachment - Statement of Work. This exchange is being issued in accordance with Federal Acquisition Regulation (FAR) 15.201(e) as a Request for Information (RFI). The purpose of this RFI is for the National In"
"1394","07d3b73841ab44a8a3fee6f39e11edad","SPE7LX21R0021","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA LAND AND MARITIME","Sources Sought","2020-10-23T23:59:00-04:00","339991","https://beta.sam.gov/opp/07d3b73841ab44a8a3fee6f39e11edad/view","Please review the below NSNs and provide us with any sources that are able to manufacture the item."
"1419","516d4ab9d938496099c94d9d62ac9052","Design Metal","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA LAND AND MARITIME","Sources Sought","2020-10-23T15:00:00-04:00","332996","https://beta.sam.gov/opp/516d4ab9d938496099c94d9d62ac9052/view","Please review the attached Market Survey Spreadsheet (which is included in this posting) for the required NSNs."
"1425","a8e600c6c1bc4abcb07908d198086166","Impedance Analyzers","DEPT OF DEFENSE","DEPT OF THE NAVY","NUWC DIV NEWPORT","Combined Synopsis/Solicitation","2020-10-23T14:00:00-04:00","334515","https://beta.sam.gov/opp/a8e600c6c1bc4abcb07908d198086166/view","Please see the attached "Combined Synopsis and Solicitation" for details."
"1438","4cc89fb3f52d49e68f5bc636f93d9056","Compellent","DEPT OF DEFENSE","DEPT OF THE ARMY","U S ARMY DEPOT LETTERKENNY","Presolicitation","2020-10-23T12:30:00-04:00","541519","https://beta.sam.gov/opp/4cc89fb3f52d49e68f5bc636f93d9056/view","The Government intends to issue a firm-fixed price, brand name contract for Compellent Maintenance & Support."
"1490","99e9ec7af6b64d128ec565cad448d0bc","WOOD COMPACTOR SUPPY & INSTALL","DEPT OF DEFENSE","DEPT OF THE ARMY","U S ARMY DEPOT TOBYHANNA","Combined Synopsis/Solicitation","2020-10-23T17:00:00-04:00","333243","https://beta.sam.gov/opp/99e9ec7af6b64d128ec565cad448d0bc/view","WOOD COMPACTOR, HEAVY DUTY INDUSTRIAL; 40HP WITH TURN KEY INSTALLATION; THIS AWARD WILL BE FOR THE TURN KEY DESIGN, SUPPLY, DELIVERY, ASSEMBLY, INSTALLATION, AND ALL TRAINING ASSOCIATED WITH THE WOOD COMPACTOR. *PLEASE REFER TO ATTACHED STATEMENT OF WORK F"
"1550","072bc1afeec0451789e0849b9aadf5f3","COCK, POPPET DRAIN","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA LAND AND MARITIME","Sources Sought","2020-10-23T00:00:00-04:00","332911","https://beta.sam.gov/opp/072bc1afeec0451789e0849b9aadf5f3/view","Please review the below NSN and provide us with any sources that are able to manufacture the item."
"1677","df24ff803dd148768a242a30ec4a2ddb","J065--Centurion Vision System Service Agreement","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","257-NETWORK CONTRACT OFFICE 17 (36C257)","Combined Synopsis/Solicitation","2020-10-23T11:00:00-05:00","811219","https://beta.sam.gov/opp/df24ff803dd148768a242a30ec4a2ddb/view","This is a Request for Quote (RFQ). The government anticipates awarding a firm-fixed price contract resulting from this solicitation. This RFQ is set aside for Small Business vendors. All respondents must have an active registration in the System for Award "
"2056","c91e6f6ec76b494e82aad23247d1647e","F103--Legionella Testing","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","245-NETWORK CONTRACT OFFICE 5 (36C245)","Sources Sought","2020-10-23T11:00:00-04:00","561210","https://beta.sam.gov/opp/c91e6f6ec76b494e82aad23247d1647e/view","Page 8 of 8 Small Business Sources Sought The Baltimore VA Medical Center is looking for a service contract to supply labor, materials, and all necessary equipment for Legionella Testing. The project will be implemented using the North American Industry Cl"
"2092","040bb42bda864476ba7f6bb4653ee47a","COCK, POPPET DRAIN","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA LAND AND MARITIME","Sources Sought","2020-10-23T00:00:00-04:00","332911","https://beta.sam.gov/opp/040bb42bda864476ba7f6bb4653ee47a/view","Please review the below NSN and provide us with any sources that are able to manufacture the item."
"2136","4cf1b53797d548cb85bd07f2a0f7e74b","COCK, POPPET DRAIN","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA LAND AND MARITIME","Sources Sought","2020-10-23T00:00:00-04:00","332911","https://beta.sam.gov/opp/4cf1b53797d548cb85bd07f2a0f7e74b/view","Please review the below NSN and provide us with any sources that are able to manufacture the item."
"2162","e1397b34565c43a3b074ac603d1c768b","81--CONTAINER,DEPLOYABL","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA TROOP SUPPORT","Combined Synopsis/Solicitation","2020-10-24","332311","https://beta.sam.gov/opp/e1397b34565c43a3b074ac603d1c768b/view","Proposed procurement for NSN 8145016282425 CONTAINER,DEPLOYABL: Line 0001 Qty 1 UI KT Deliver To: 0015 CS BN HHC BDE SPT By: 0120 DAYS ADO Line 0002 Qty 1 UI KT Deliver To: 0227 QM CO COMPOSITE SUPPL By: 0120 DAYS ADO Approved source is 57AD8 AP104016. The"
"2290","63d7154e36b7474b862f6115b13eca41","J039--Material Handling Equipment Preventative Maintenance and Repair Services for VA Loma Linda Healthcare System","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","262-NETWORK CONTRACT OFFICE 22L (36C262)","Sources Sought","2020-10-23T10:00:00-07:00","811310","https://beta.sam.gov/opp/63d7154e36b7474b862f6115b13eca41/view","Sources Sought Synopsis Only The purpose of this synopsis is to gain knowledge of potential qualified sources and their size classification (hubzone, 8(a), small, small disadvantage, veteran owned small business (VOSB), service-disabled veteran owned small"
"2342","87475cd533064e3aa73808205c1290f2","Cross Connection Survey","DEPT OF DEFENSE","DEPT OF THE ARMY","W6QM MICC-JB LEWIS-MC CHORD","Sources Sought","2020-10-23T16:00:00-07:00","221310","https://beta.sam.gov/opp/87475cd533064e3aa73808205c1290f2/view","THIS IS A Sources Sought Notice ONLY."
"2464","0b0096b65b004f89847da56a2c0f5e80","Aerospace Medicine Safety Information System (AMSIS) Market Survey/Request for Information (RFI) Announcement","TRANSPORTATION, DEPARTMENT OF","FEDERAL AVIATION ADMINISTRATION","693KA7 ENROUTE & TERMINAL CONTRACTS","Presolicitation","2020-10-23T14:00:00-04:00","541512","https://beta.sam.gov/opp/0b0096b65b004f89847da56a2c0f5e80/view","AMSIS will provide an aerospace medical information network that integrates critical, security sensitive medical information generated from geographically distributed national and international locations. AMSIS critical data may be used for regulatory enfo"
"2502","a085a9b5ead94bfd8603e2af6f840576","Datacenter Power and Cooling Services","DEPT OF DEFENSE","DEPT OF THE ARMY","W7M9 USPFO ACTIVITY KS ARNG","Combined Synopsis/Solicitation","2020-10-23T15:00:00-05:00","811310","https://beta.sam.gov/opp/a085a9b5ead94bfd8603e2af6f840576/view","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice. "
"2504","ebcee2d2a95f4d3183c4441f5edb5ddf","Advanced Arresting Gear (AAG) Cable Running Sheets (CRS) ECP","DEPT OF DEFENSE","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","Presolicitation","2020-10-23T15:30:00-04:00","336413","https://beta.sam.gov/opp/ebcee2d2a95f4d3183c4441f5edb5ddf/view","The Naval Air Systems Command (NAVAIR), NAS Patuxent River, MD, intends to negotiate and award an order to General Atomics (GA), San Diego, CA, under an existing Basic Ordering Agreement, for the development and implemenation of nine (9) Advanced Arresting"
"2655","6f369ae873b14eeb958ac689accb3de5","MANIFOLD, FIREFIGHTING","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA MARITIME - NORFOLK","Combined Synopsis/Solicitation","2020-10-23T11:00:00-04:00","314999","https://beta.sam.gov/opp/6f369ae873b14eeb958ac689accb3de5/view","The Defense Logistics Agency, DLA Maritime Norfolk, Contracting Division, intends to negotiate a Firm Fixed Price contract to procure Manifold, Firefighting to be shipped to the Norfolk Naval Shipyard, Portsmouth, Virginia 23709."
"2679","b5d6ed8a0a824aaf857f7ec68df9cf70","SPMYM2-20-R-0003","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA MARITIME - PUGET SOUND","Special Notice","2020-10-23T08:00:00-07:00","333996","https://beta.sam.gov/opp/b5d6ed8a0a824aaf857f7ec68df9cf70/view","SOLICITATION AMENDMENT"
"2703","fda026d91d764bcf92c8cae19ee4ef24","J065--Instrument Sharpening","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","257-NETWORK CONTRACT OFFICE 17 (36C257)","Combined Synopsis/Solicitation","2020-10-23T11:00:00-05:00","811219","https://beta.sam.gov/opp/fda026d91d764bcf92c8cae19ee4ef24/view","Page 2 of 2 This is a Request for Quote (RFQ). The government anticipates awarding a firm-fixed price contract resulting from this solicitation. This RFQ is set aside for Service Disabled Veteran Owned Small Businesses (SDVOSB). All respondents must have a"
"2896","25af13a9e472463cadc114628bbdd62f","Research Microscope - Nikon Eclipse TS2R-FL","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","244-NETWORK CONTRACT OFFICE 4 (36C244)","Sources Sought","2020-10-23T12:00:00-04:00","334516","https://beta.sam.gov/opp/25af13a9e472463cadc114628bbdd62f/view","The Research Service at VAPHS is in need of a compact inverted research microscope configurable with a wide variety of observation methods."
"2913","898ac56687ed45bba3fce746835a74d2","SOLICITATION/AMENDMENT","JUSTICE, DEPARTMENT OF","FEDERAL PRISON SYSTEM / BUREAU OF PRISONS","FDC HOUSTON","Solicitation","2020-10-23T14:00:00-05:00","236220","https://beta.sam.gov/opp/898ac56687ed45bba3fce746835a74d2/view","Amendment 0002"
"2965","6846ea7e61be44b38a1d45b35a57d88f","J061--Multi-Year Electrical Maintenance Topeka KS VAMC","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","255-NETWORK CONTRACT OFFICE 15 (36C255)","Solicitation","2020-10-23T10:00:00-05:00","811310","https://beta.sam.gov/opp/6846ea7e61be44b38a1d45b35a57d88f/view","Pre-solicitation Notice The Department of Veterans Affairs, Network Contracting Office (NCO) 15 intends to release a commercial solicitation for Triennial Electrical Testing/Inspection for the Topeka, Kansas VAMC. This acquisition shall be set-aside solici"
"3000","580030f44d2d4ff69797b0346e1cd8cb","Emergency Technical Support for C280-12 Caterpillar Diesel Generators","DEPT OF DEFENSE","WASHINGTON HEADQUARTERS SERVICES (WHS)","WASHINGTON HEADQUARTERS SERVICES","Sources Sought","2020-10-23T10:00:00-04:00","811310","https://beta.sam.gov/opp/580030f44d2d4ff69797b0346e1cd8cb/view","This is a sources sought notice for market research purposes only. This is not a formal request for competitive offers and in no way obligates the Government. The Government intends to use any voluntary responses to this notice for information and planning"
"3043","95b45deaf70b40b9a74fac0bb9951203","J061--Multi-Year Electrical Maintenance Topeka KS VAMC","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","255-NETWORK CONTRACT OFFICE 15 (36C255)","Presolicitation","2020-10-23T10:00:00-05:00","811310","https://beta.sam.gov/opp/95b45deaf70b40b9a74fac0bb9951203/view","Pre-solicitation Notice The Department of Veterans Affairs, Network Contracting Office (NCO) 15 intends to release a commercial solicitation for Triennial Electrical Testing/Inspection for the Topeka, Kansas VAMC. This acquisition shall be set-aside solici"
"3057","7068e951af6f4b169983edebca7c66f8","Evaluation and Repair of Fire Extinguisher for MH65 Aircraft","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","AVIATION LOGISTICS CENTER (ALC)(000","Sources Sought","2020-10-23T12:00:00-04:00","488190","https://beta.sam.gov/opp/7068e951af6f4b169983edebca7c66f8/view","This is a request for information."
"3096","4c74abdb236d4703b48e44d88ab8b5ee","J065--Preventive and Corrective Maintenance - Getinge Steam Sterilizers - Philadelphia VA Medical Center","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","244-NETWORK CONTRACT OFFICE 4 (36C244)","Combined Synopsis/Solicitation","2020-10-23T13:00:00-04:00","811219","https://beta.sam.gov/opp/4c74abdb236d4703b48e44d88ab8b5ee/view","The Department of Veterans Affairs, Network Contracting Office 4, on behalf of the Philadelphia VA Medical Center, anticipates the award of a one (1) year fixed price contract with four (4) option years, for Preventive and Corrective Maintenance of Getinge"
"3116","935d8da356b64331bf82b1f5eb5b038f","Q509--ONSITE EMERGENCY MEDICINE PHYSICIAN SERVICES","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","246-NETWORK CONTRACTING OFFICE 6 (36C246)","Presolicitation","2020-10-23T16:00:00-04:00","621493","https://beta.sam.gov/opp/935d8da356b64331bf82b1f5eb5b038f/view","PRESOLICITATION NOTICE This Solicitation Notice announcement request for proposals qualified offerors interested and capable of providing On-Site Board Certified/Board Eligible in Emergency Medicine, Internal Medicine, or Family Practice Physicians to prov"
"3170","29af17e2041140efb91fc33d7f63f220","Diving Services","TRANSPORTATION, DEPARTMENT OF","SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION","6923HA SAINT LAWRENCE DEVELOPMENT SEAWAY","Combined Synopsis/Solicitation","2020-10-23T11:00:00-04:00","561","https://beta.sam.gov/opp/29af17e2041140efb91fc33d7f63f220/view","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.603, as supplemented with additional information included in this notice."
"3258","ec7f1b0ef0cb44ef9d46e1df47fd2e48","Open Platform for Advanced Learning (OPAL)","DEPT OF DEFENSE","DEPT OF THE AIR FORCE","FA8224  OL H  PZI PZIM","Sources Sought","2020-10-23T23:00:00-04:00","541512","https://beta.sam.gov/opp/ec7f1b0ef0cb44ef9d46e1df47fd2e48/view","Please see the attached SSS Service,"
"3264","62cc61eb90514ee9876ee8ed66ff2d29","Open Platform for Advanced Learning (OPAL)","DEPT OF DEFENSE","DEPT OF THE AIR FORCE","FA8224  OL H  PZI PZIM","Sources Sought","2020-10-23T23:00:00-04:00","541512","https://beta.sam.gov/opp/62cc61eb90514ee9876ee8ed66ff2d29/view","Please see the attached SSS Service,"
"3356","cb2f6fd21c2e4f0d9e697ace5df5b73d","225' WLB SINGLE POINT DAVIT OVERHAUL AND UPGRADE","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","SFLC PROCUREMENT BRANCH 3(00040)","Sources Sought","2020-10-24","811310","https://beta.sam.gov/opp/cb2f6fd21c2e4f0d9e697ace5df5b73d/view","The U.S. Coast Guard Surface Forces Logistics Center, Engineering Services Division, In Service Vessel Sustainment branch is seeking qualified sources that can overhaul and upgrade an estimated seven (7) Appleton Marine Electro-Hydraulic Cranes, Model Numb"
"3415","1cc86f864fe7406aadfdf6ce79483d58","Relocation Hammond CBOC","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","256-NETWORK CONTRACT OFFICE 16 (36C256)","Sources Sought","2020-10-23T17:00:00-04:00","531120","https://beta.sam.gov/opp/1cc86f864fe7406aadfdf6ce79483d58/view","Relocation for Hammond CBOC NSUF 23,145, RSF 26,615 RSF Parking Spaces change:"
"3417","0b2e0200a19f49e2ba70a5f3be10066c","USCG WAESCHE (WMSL 751) DOCKSIDE REPAIRS FY21 Q1","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","SFLC PROCUREMENT BRANCH 2(00085)","Combined Synopsis/Solicitation","2020-10-23T14:00:00-04:00","336611","https://beta.sam.gov/opp/0b2e0200a19f49e2ba70a5f3be10066c/view","This is a combined synopsis/solicitation for commercial items prepared in accordance with the procedures in FAR Part 12.6, Acquisition of Commercial Items and FAR Subpart 13.5 Simplified Procedures for Certain Commercial items. Solicitation 70Z08521RP45029"
"3436","07b1b358a34141c1921d711c5fcd51d5","Grounds Maintenance and Landscaping","DEPT OF DEFENSE","DEPT OF THE NAVY","NAVAL FAC ENGINEERING CMD FAR EAST","Presolicitation","2020-10-23T16:00:00+09:00","561730","https://beta.sam.gov/opp/07b1b358a34141c1921d711c5fcd51d5/view","14 Oct 2020: Presolicitation is updated to replace the attachment file. Banner and Footer Markings were changed. No other changes are made. ********************************** 1."
"3574","6b34498c6f444aec95fe9ebe2ebe9d32","Total Parenteral Nutrition (Adult TPN, Pediatric TPN, Neonatal TPN, Standard Stock Bag) to support patients","DEPT OF DEFENSE","DEPT OF THE NAVY","NAVAL MEDICAL CENTER SAN DIEGO CA","Combined Synopsis/Solicitation","2020-10-23T09:00:00-07:00","325412","https://beta.sam.gov/opp/6b34498c6f444aec95fe9ebe2ebe9d32/view","NOTICE TO CONTRACTOR This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice."
"3582","b99bc4b74db9472b9af714eae6b31c62","Sources Sought - Firing Mechanism Assembly - End Item: Howitzer, 155mm: M776, M284","DEPT OF DEFENSE","DEPT OF THE ARMY","W4GG HQ US ARMY TACOM","Sources Sought","2020-10-23T18:00:00-04:00","332994","https://beta.sam.gov/opp/b99bc4b74db9472b9af714eae6b31c62/view","Sources Sought Notice NOTICE Type: Sources Sought / Market Research for Firing Mechanism Assembly This is a SOURCES SOUGHT / MARKET RESEARCH notice to request information for Government planning purposes only. "
"3646","b378b843e10647578112c26ddc27020e","INSULATION, PIPE THERMAL","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA MARITIME - PUGET SOUND","Solicitation","2020-10-23T10:00:00-07:00","314999","https://beta.sam.gov/opp/b378b843e10647578112c26ddc27020e/view","The RFQ will be posted at http://www.BETA.SAM.gov/. A bidders list will not be maintained by this office, no telephone or fax requests for the RFQ package will be accepted. Failure to respond to the electronically posted RFQ and associated amendments prior"
"3659","20fd110439c2447b998babfc4e088225","Website Development","SENATE, THE","THE UNITED STATES SENATE SERGEANT AT ARMS","SENATE SERGEANT AT ARMS","Solicitation","2020-10-23T12:00:00-04:00","541511","https://beta.sam.gov/opp/20fd110439c2447b998babfc4e088225/view","Please find additional clarification to the"
"3671","1c15f04c40504db39e633683de526b7d","Standby Rescue and Safety Support Services","TRANSPORTATION, DEPARTMENT OF","SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION","6923HA SAINT LAWRENCE DEVELOPMENT SEAWAY","Combined Synopsis/Solicitation","2020-10-23T13:00:00-04:00","54199","https://beta.sam.gov/opp/1c15f04c40504db39e633683de526b7d/view","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.603, as supplemented with additional information included in this notice."
"3698","ca9040aa420a4100802ac305d397ce26","H212--Fire protection systems maintenance Lyons VA Medical Center","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","242-NETWORK CONTRACT OFFICE 02 (36C242)","Solicitation","2020-10-23T10:00:00-04:00","238990","https://beta.sam.gov/opp/ca9040aa420a4100802ac305d397ce26/view","The New Jersey Healthcare System at Lyons Campus has a requirement for annual and semi-annual inspection, testing, and maintenance of their fire protection systems. These systems include: portable fire extinguishers, fire alarm system, kitchen hood suppres"
"3716","fdd8074757b342008d6e1e19a5f17995","SOURCES SOUGHT FOR AMMPS GENERATOR TRAINING SUPPORT FOR FOREIGN MILITARY SALES (FMS)","DEPT OF DEFENSE","DEPT OF THE ARMY","W6QK ACC-APG","Sources Sought","2020-10-23T16:00:00-04:00","335312","https://beta.sam.gov/opp/fdd8074757b342008d6e1e19a5f17995/view","SOURCES SOUGHT FOR AMMPS GENERATOR TRAINING SUPPORT FOR FOREIGN MILITARY SALES (FMS) Description SOURCES SOUGHT FOR ADVANCED MEDIUM MOBILE POWER SOURCE (AMMPS) GENERATOR TRAINING SUPPORT TO ROYAL SAUDI ARABIA DEFENSE FORCES (RSADF) FOR FOREIGN MILITARY SAL"
"3720","27bfa04274884a8c91e18f01dde5bce0","Deployment and Operation of Autonomous Vehicles Pilot Program","ENERGY, DEPARTMENT OF","ENERGY, DEPARTMENT OF","ARGONNE NATL LAB - DOE CONTRACTOR","Presolicitation","2020-10-23T17:00:00-05:00","5321","https://beta.sam.gov/opp/27bfa04274884a8c91e18f01dde5bce0/view","Requesting information only at this time as defined in the attached documents with regard to provision, deployment and operation of autonomous vehicles on the Argonne National Laboratory site (Lemont, IL) for a one year pilot program with possible addition"
"3721","86a8fbabfafc4a7b8be996fa14f86a44","Chemical Storage Buildings","JUSTICE, DEPARTMENT OF","DRUG ENFORCEMENT ADMINISTRATION","FORENSIC SCIENCES","Sources Sought","2020-10-23T10:00:00-04:00","33299","https://beta.sam.gov/opp/86a8fbabfafc4a7b8be996fa14f86a44/view","GENERAL INFORMATION "
"3771","00189de116834eed9c2aa9c15d0d599c","Q999--Intraoperative Neuromonitoring Services (IONM) in Support of Bruce W. Carter VAMC, Miami, Florida. Tiered Evaluations Including Small Business Concerns","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","248-NETWORK CONTRACT OFFICE 8 (36C248)","Combined Synopsis/Solicitation","2020-10-23T15:00:00-04:00","621111","https://beta.sam.gov/opp/00189de116834eed9c2aa9c15d0d599c/view","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Federal Acquisition Regulation (FAR) subpart 12.6, Streamlined Procedures for Evaluation and Solicitation for Commercial Items, as supplemented with add"
"3867","5a7fb1620c0542e39d2474a790aa8894","Q509--ONSITE EMERGENCY MEDICINE PHYSICIAN SERVICES","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","246-NETWORK CONTRACTING OFFICE 6 (36C246)","Presolicitation","2020-10-23T16:00:00-04:00","621493","https://beta.sam.gov/opp/5a7fb1620c0542e39d2474a790aa8894/view","PRESOLICITATION NOTICE This Solicitation Notice announcement request for proposals qualified offerors interested and capable of providing On-Site Board Certified/Board Eligible in Emergency Medicine, Internal Medicine, or Family Practice Physicians to prov"
"3913","2f7288e6a3604201b18c26f7490a8576","RENTAL OF COMBO SHOWER / RESTROOM TRAILER","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","BASE CAPE COD(00052)","Combined Synopsis/Solicitation","2020-10-23T12:00:00-04:00","33621","https://beta.sam.gov/opp/2f7288e6a3604201b18c26f7490a8576/view","1.1 Scope of Work: Rental of 1 combo shower and restroom trailer. Trailer shall have 2 restroom and shower stalls each to include lights, heat, AC, sinks, toilets, showers, vanity, mirrors, waste receptacles, paper towel holders and soap dispensers. Contra"
"3927","afd968c6d29d4c33afc2a320f2c0bc8f","Implementation Services for National Correspondence Management System","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","USDA FS WO AQM IT SUPPORT BRANCH","Special Notice","2020-10-23T12:00:00-06:00","541519","https://beta.sam.gov/opp/afd968c6d29d4c33afc2a320f2c0bc8f/view","Interested Parties The USDA FOREST SERVICE is issuing this Request for Information as a means of conducting market research to identify parties having an interest in and the resources to support this requirement for Implementation Services for National Cor"
"3932","27847be04c3c4562a4ef09ac7722401e","96 TSSQ Mission Support","DEPT OF DEFENSE","DEPT OF THE AIR FORCE","FA2487  AFTC PZIE","Sources Sought","2020-10-23T15:00:00-05:00","541330","https://beta.sam.gov/opp/27847be04c3c4562a4ef09ac7722401e/view","The Department of Defense (DoD), United States Air Force (USAF), Air Force Materiel Command (AFMC), Air Force Test Center (AFTC), 96th Test Wing, Test System Squadron (96th TW/TSSQ) is currently conducting market research seeking capability statements from"
"3949","81fb6ef101df442c998b296d7666d27f","FUEL TANK REPLACEMENT KIT","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA MARITIME - PUGET SOUND","Solicitation","2020-10-23T06:00:00-07:00","326299","https://beta.sam.gov/opp/81fb6ef101df442c998b296d7666d27f/view","DLA MARITIME PUGET SOUND is issuing a solicitation for the procurement of a WENZLAU ENGINEERING to be negotiated on a sole source basis with Gerber technology, per FAR 6.302. Interested persons may identify their interest and capability to respond to the r"
"3975","304ea2334c2c4e5c88ad66286982d344","Diving Services","TRANSPORTATION, DEPARTMENT OF","SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION","6923HA SAINT LAWRENCE DEVELOPMENT SEAWAY","Combined Synopsis/Solicitation","2020-10-23T11:00:00-04:00","561","https://beta.sam.gov/opp/304ea2334c2c4e5c88ad66286982d344/view","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.603, as supplemented with additional information included in this notice."
"3987","a1169688e3c94836881165ea5b0b37f5","Destruction Services by Incineration","JUSTICE, DEPARTMENT OF","DRUG ENFORCEMENT ADMINISTRATION","PHOENIX, AZ DIVISION OFFICE","Sources Sought","2020-10-23T10:00:00-04:00","562213","https://beta.sam.gov/opp/a1169688e3c94836881165ea5b0b37f5/view","GENERAL INFORMATION "
"4206","929dc7f2d522492a8a1f97ed1edf4653","Up to 60 month lease of 4 MFDs GUAM","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DCSO-P NEW CUMBERLAND","Combined Synopsis/Solicitation","2020-10-23T10:00:00-04:00","532420","https://beta.sam.gov/opp/929dc7f2d522492a8a1f97ed1edf4653/view","General This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR subpart 12.6 "
